Time (Milliseconds),Input (18 C),Temp C
383019,16.41,-3.61
383070,16.41,-3.61
383120,16.41,-3.61
383171,16.41,-3.61
383222,16.41,-3.12
383273,16.41,-3.61
383325,16.41,-4.1
383376,16.41,-3.61
383427,16.41,-5.08
383478,16.41,-4.1
383529,16.41,-3.61
383581,16.41,-4.1
383632,16.41,-4.1
383682,16.41,-4.59
383733,16.41,-4.1
383784,16.41,-4.59
383836,16.41,-4.59
383887,16.41,-4.1
383938,16.41,-4.1
383989,16.41,-4.1
384040,16.41,-3.12
384092,16.41,-4.1
384143,16.41,-4.1
384194,16.41,-3.12
384244,16.41,-4.1
384295,16.41,-3.61
384347,16.41,-3.61
384398,16.41,-4.1
384449,16.41,-3.61
384500,16.41,-3.61
384551,16.41,-4.1
384603,16.41,-3.61
384654,16.41,-3.12
384705,16.41,-3.61
384755,16.41,-3.61
384806,16.41,-3.12
384858,16.41,-3.61
384909,16.41,-3.61
384960,16.41,-3.61
385011,16.41,-3.61
385062,16.41,-3.12
385114,16.41,-3.12
385165,16.41,-3.61
385216,16.41,-4.1
385267,16.41,-3.61
385317,16.41,-3.12
385369,16.41,-3.12
385420,16.41,-3.12
385471,16.41,-3.61
385522,16.41,-4.1
385573,16.41,-3.12
385625,16.41,-3.61
385676,16.41,-2.64
385727,16.41,-3.12
385778,16.41,-3.12
385829,16.41,-3.12
385880,16.41,-3.61
385931,16.41,-3.61
385982,16.41,-3.12
386033,16.41,-3.12
386084,16.41,-3.12
386136,16.41,-2.64
386187,16.41,-3.61
386238,16.41,-3.61
386289,16.41,-3.12
386340,16.41,-3.61
386392,16.41,-4.1
386442,16.41,-4.1
386493,16.41,-2.64
386544,16.41,-3.61
386595,16.41,-4.1
386647,16.41,-3.61
386698,16.41,-3.12
386749,16.41,-3.61
386800,16.41,-3.61
386851,16.41,-3.12
386903,16.41,-3.61
386954,16.41,-4.1
387004,16.41,-3.61
387055,16.41,-3.61
387106,16.41,-3.61
387158,16.41,-3.12
387209,16.41,-3.61
387260,16.41,-3.12
387311,16.41,-3.61
387362,16.41,-3.12
387414,16.41,-3.12
387465,16.41,-3.12
387516,16.41,-3.12
387566,16.41,-3.61
387617,16.41,-3.61
387668,16.41,-3.61
387720,16.41,-3.12
387771,16.41,-3.12
387822,16.41,-3.12
387873,16.41,-3.61
387924,16.41,-3.12
387976,16.41,-3.12
388027,16.41,-3.12
388078,16.41,-3.12
388128,16.41,-3.61
388179,16.41,-3.61
388231,16.41,-4.1
388282,16.41,-3.61
388333,16.41,-2.64
388384,16.41,-2.64
388435,16.41,-3.12
388487,16.41,-3.61
388538,16.41,-3.12
388589,16.41,-2.64
388640,16.41,-2.64
388690,16.41,-3.12
388742,16.41,-3.61
388793,16.41,-2.64
388844,16.41,-3.12
388895,16.41,-2.64
388946,16.41,-3.61
388998,16.41,-3.61
389049,16.41,-3.61
389100,16.41,-3.12
389151,16.41,-3.12
389202,16.41,-3.61
389253,16.41,-2.64
389304,16.41,-3.61
389355,16.41,-2.64
389406,16.41,-3.12
389457,16.41,-2.64
389509,16.41,-3.12
389560,16.41,-3.12
389611,16.41,-3.61
389662,16.41,-3.12
389713,16.41,-3.12
389765,16.41,-2.64
389815,16.41,-3.12
389866,16.41,-3.12
389917,16.41,-2.64
389968,16.41,-2.64
390020,16.41,-3.12
390071,16.41,-2.64
390122,16.41,-3.12
390173,16.41,-3.12
390224,16.41,-3.12
390276,16.41,-3.12
390327,16.41,-2.64
390377,16.41,-3.61
390428,16.41,-3.12
390479,16.41,-3.12
390531,16.41,-2.64
390582,16.41,-2.64
390633,16.41,-3.12
390684,16.41,-3.12
390735,16.41,-2.64
390787,16.41,-3.12
