Time (milliseconds),Input (-12 C),Temp (C)
27888,-12,10.06
27939,-12,9.57
27991,-12,9.08
28042,-12,10.06
28093,-12,9.57
28143,-12,9.08
28194,-12,10.06
28246,-12,9.57
28297,-12,9.57
28348,-12,9.57
28399,-12,9.57
28450,-12,9.08
28500,-12,10.06
28552,-12,10.06
28603,-12,9.57
28654,-12,9.57
28705,-12,9.57
28756,-12,9.57
28808,-12,9.57
28858,-12,9.57
28909,-12,9.08
28960,-12,10.06
29011,-12,9.08
29063,-12,10.06
29114,-12,10.06
29165,-12,9.57
29216,-12,10.06
29266,-12,9.57
29318,-12,9.57
29369,-12,10.06
29420,-12,9.57
29471,-12,9.57
29522,-12,9.57
29574,-12,9.57
29624,-12,9.57
29675,-12,9.57
29726,-12,9.57
29777,-12,9.08
29829,-12,9.57
29880,-12,9.57
29931,-12,10.06
29981,-12,9.57
30032,-12,10.06
30084,-12,9.57
30135,-12,9.57
30186,-12,9.57
30237,-12,10.06
30288,-12,9.57
30340,-12,9.57
30390,-12,9.57
30441,-12,9.57
30492,-12,9.57
30543,-12,9.08
30595,-12,9.08
30646,-12,9.57
30696,-12,9.08
30747,-12,9.57
30798,-12,9.57
30850,-12,9.57
30901,-12,9.08
30952,-12,9.57
31003,-12,9.08
31053,-12,9.57
31105,-12,9.08
31156,-12,9.08
31207,-12,10.06
31258,-12,9.08
31309,-12,9.08
31361,-12,9.57
31411,-12,9.08
31462,-12,9.57
31513,-12,9.08
31564,-12,9.08
31616,-12,9.08
31667,-12,9.57
31718,-12,9.08
31768,-12,9.08
31819,-12,9.08
31870,-12,9.57
31922,-12,9.08
31973,-12,9.08
32024,-12,9.08
32075,-12,9.08
32125,-12,8.59
32177,-12,9.08
32228,-12,9.08
32279,-12,9.08
32330,-12,9.08
32381,-12,9.08
32432,-12,9.57
32483,-12,8.59
32534,-12,9.08
32585,-12,8.11
32636,-12,8.59
32688,-12,9.08
32739,-12,9.08
32789,-12,9.08
32840,-12,9.08
32891,-12,8.11
32943,-12,9.08
32994,-12,9.08
33045,-12,9.08
33096,-12,9.08
33146,-12,8.59
33198,-12,9.08
33249,-12,9.08
33300,-12,9.57
33351,-12,9.08
33402,-12,9.08
33454,-12,9.08
33504,-12,8.59
33555,-12,8.11
33606,-12,8.59
33657,-12,8.59
33709,-12,8.59
33760,-12,8.59
33811,-12,8.59
33861,-12,8.59
33912,-12,8.11
33964,-12,8.59
34015,-12,9.08
34066,-12,8.11
34117,-12,8.11
34168,-12,8.59
34219,-12,8.59
34270,-12,8.59
34321,-12,8.59
34372,-12,8.11
34423,-12,8.59
34475,-12,8.59
34526,-12,8.59
34576,-12,8.59
34627,-12,8.59
34678,-12,8.59
34729,-12,8.11
34781,-12,9.08
34832,-12,8.59
34883,-12,8.59
34933,-12,8.59
34984,-12,8.59
35036,-12,8.11
35087,-12,8.59
35138,-12,7.62
35189,-12,8.59
35240,-12,8.11
35291,-12,8.59
35342,-12,8.59
35393,-12,9.08
35444,-12,8.59
35495,-12,8.11
35547,-12,8.59
35598,-12,8.59
35648,-12,8.11
35699,-12,8.59
35750,-12,8.11
35802,-12,8.11
35853,-12,8.59
35904,-12,8.59
35955,-12,8.59
36005,-12,8.11
36057,-12,8.59
36108,-12,8.11
36159,-12,8.59
36210,-12,8.11
36261,-12,8.11
36313,-12,8.11
36363,-12,8.11
36414,-12,8.59
36465,-12,8.59
36516,-12,8.11
36568,-12,8.11
36619,-12,8.11
36670,-12,7.62
36720,-12,8.11
36771,-12,8.11
36823,-12,8.11
36874,-12,8.11
36925,-12,8.11
36976,-12,8.11
37027,-12,8.11
37078,-12,8.11
37129,-12,8.59
37180,-12,8.59
37231,-12,8.11
37282,-12,8.11
37334,-12,8.11
37385,-12,8.11
37435,-12,8.11
37486,-12,7.62
37537,-12,8.11
37588,-12,8.11
37640,-12,8.11
37691,-12,8.11
37742,-12,8.11
37792,-12,8.11
37843,-12,7.62
37895,-12,8.11
37946,-12,8.11
37997,-12,8.59
38048,-12,8.11
38099,-12,7.62
38150,-12,7.13
38201,-12,8.11
38252,-12,7.62
38303,-12,7.62
38354,-12,7.62
38406,-12,7.62
38457,-12,7.62
38507,-12,7.13
38558,-12,7.62
38609,-12,7.62
38661,-12,8.11
38712,-12,7.62
38763,-12,7.62
38814,-12,8.11
38865,-12,8.11
38916,-12,7.13
38967,-12,7.62
39018,-12,7.62
39069,-12,7.13
39120,-12,8.11
39172,-12,7.62
39223,-12,7.62
39273,-12,7.62
39324,-12,7.62
39375,-12,7.62
39427,-12,7.13
39478,-12,7.62
39529,-12,7.13
39580,-12,7.13
39630,-12,7.13
39682,-12,7.13
39733,-12,7.13
39784,-12,7.62
39835,-12,7.62
39886,-12,7.62
39938,-12,7.62
39988,-12,7.62
40039,-12,7.13
40090,-12,7.62
40141,-12,7.13
40193,-12,7.13
40244,-12,7.62
40295,-12,7.13
40345,-12,7.13
40396,-12,7.62
40448,-12,6.64
40499,-12,7.13
40550,-12,7.13
40601,-12,7.13
40652,-12,7.13
40702,-12,7.13
40754,-12,7.13
40805,-12,7.13
40856,-12,7.13
40907,-12,7.13
40958,-12,7.13
41010,-12,7.13
41060,-12,7.13
41111,-12,7.13
41162,-12,7.62
41213,-12,7.62
41265,-12,7.13
41316,-12,7.13
41367,-12,6.64
41417,-12,7.13
41468,-12,7.62
41520,-12,6.64
41571,-12,7.13
41622,-12,7.13
41673,-12,7.62
41724,-12,7.13
41775,-12,7.62
41826,-12,7.62
41877,-12,7.13
41928,-12,7.13
41979,-12,7.13
42031,-12,6.64
42082,-12,7.13
42132,-12,7.13
42183,-12,7.13
42234,-12,7.62
42286,-12,7.13
42337,-12,7.13
42388,-12,7.13
42439,-12,6.64
42489,-12,6.64
42541,-12,7.13
42592,-12,6.64
42643,-12,7.13
42694,-12,7.13
42745,-12,7.13
42797,-12,7.13
42847,-12,7.13
42898,-12,6.64
42949,-12,6.64
43000,-12,6.64
43052,-12,7.13
43103,-12,6.64
43154,-12,7.13
43205,-12,6.64
43255,-12,6.64
43307,-12,6.64
43358,-12,6.64
43409,-12,7.13
43460,-12,7.13
43511,-12,7.13
43563,-12,6.64
43613,-12,6.64
43664,-12,6.64
43715,-12,6.64
43766,-12,6.64
43817,-12,7.62
43869,-12,7.13
43920,-12,7.13
43970,-12,7.13
44021,-12,6.64
44072,-12,6.64
44124,-12,7.13
44175,-12,6.64
44226,-12,6.15
44277,-12,6.64
44327,-12,7.13
44379,-12,6.64
44430,-12,6.64
44481,-12,6.64
44532,-12,7.13
44583,-12,7.13
44635,-12,7.13
44685,-12,6.64
44736,-12,6.64
44787,-12,7.13
44838,-12,7.13
44890,-12,6.64
44941,-12,7.13
44992,-12,6.64
45042,-12,6.64
45093,-12,6.15
45145,-12,7.13
45196,-12,6.64
45247,-12,6.64
45298,-12,6.64
45349,-12,6.15
45400,-12,6.64
45451,-12,6.64
45502,-12,7.13
45553,-12,7.13
45604,-12,6.64
45656,-12,6.64
45707,-12,7.13
45757,-12,6.64
45808,-12,6.15
45859,-12,7.13
45911,-12,6.64
45962,-12,6.64
46013,-12,7.13
46064,-12,6.64
46114,-12,6.64
46166,-12,6.64
46217,-12,6.64
46268,-12,6.64
46319,-12,6.64
46370,-12,6.64
46422,-12,6.64
46472,-12,6.64
46523,-12,6.15
46574,-12,6.64
46625,-12,6.64
46676,-12,6.64
46728,-12,6.64
46779,-12,6.64
46829,-12,6.64
46880,-12,6.64
46931,-12,6.64
46983,-12,6.64
47034,-12,7.13
47085,-12,6.15
47136,-12,7.13
47186,-12,6.64
47238,-12,6.15
47289,-12,6.15
47340,-12,6.64
47391,-12,6.64
47442,-12,6.15
47494,-12,6.64
47545,-12,6.64
47595,-12,6.15
47646,-12,6.64
47697,-12,6.15
47749,-12,6.15
47800,-12,7.13
47851,-12,6.15
47902,-12,6.15
47952,-12,6.64
48004,-12,6.15
48055,-12,6.15
48106,-12,6.15
48157,-12,6.64
48208,-12,6.15
48260,-12,6.64
48310,-12,6.15
48361,-12,6.15
48412,-12,6.64
48463,-12,6.15
48515,-12,6.64
48566,-12,6.15
48617,-12,6.64
48667,-12,6.15
48718,-12,6.64
48770,-12,6.15
48821,-12,7.13
48872,-12,6.15
48923,-12,6.15
48974,-12,6.15
49025,-12,6.15
49076,-12,5.66
49127,-12,6.64
49178,-12,6.15
49229,-12,7.13
49281,-12,6.15
49332,-12,6.15
49382,-12,6.15
49433,-12,5.66
49484,-12,6.64
49536,-12,6.64
49587,-12,6.15
49638,-12,6.64
49689,-12,6.15
49739,-12,6.15
49790,-12,6.64
49842,-12,6.64
49893,-12,6.15
49944,-12,6.15
49995,-12,6.15
50046,-12,6.15
50097,-12,6.15
50148,-12,6.64
50199,-12,6.15
50250,-12,6.64
50301,-12,6.64
50353,-12,6.15
50404,-12,6.15
50454,-12,6.15
50505,-12,6.64
50556,-12,6.15
50608,-12,6.15
50659,-12,5.66
50710,-12,5.66
50761,-12,6.64
50811,-12,6.15
50863,-12,6.15
50914,-12,6.64
50965,-12,6.15
51016,-12,6.15
51067,-12,6.15
51119,-12,6.15
51169,-12,5.66
51220,-12,6.64
51271,-12,6.15
51322,-12,6.15
51374,-12,5.18
51425,-12,6.64
51476,-12,6.64
51526,-12,6.15
51577,-12,5.66
51629,-12,6.15
51680,-12,6.15
51731,-12,6.15
51782,-12,6.15
51833,-12,5.66
51885,-12,5.66
51935,-12,6.64
51986,-12,6.15
52037,-12,6.64
52088,-12,6.15
52140,-12,5.66
52191,-12,6.15
52242,-12,6.15
52292,-12,6.15
52343,-12,6.15
52395,-12,6.15
52446,-12,5.66
52497,-12,6.15
52548,-12,6.15
52599,-12,5.66
52649,-12,5.66
52701,-12,6.15
52752,-12,6.15
52803,-12,5.18
52854,-12,5.66
52905,-12,5.66
52957,-12,6.15
53007,-12,5.66
53058,-12,6.15
53109,-12,6.15
53160,-12,6.15
53212,-12,5.66
53263,-12,5.66
53314,-12,5.66
53364,-12,6.15
53415,-12,5.66
53467,-12,6.15
53518,-12,5.66
53569,-12,5.66
53620,-12,6.15
53671,-12,5.66
53722,-12,5.66
53773,-12,5.66
53824,-12,5.66
53875,-12,6.15
53926,-12,5.66
53978,-12,5.66
54029,-12,5.66
54079,-12,5.18
54130,-12,5.66
54181,-12,5.66
54233,-12,5.66
54284,-12,6.15
54335,-12,6.15
54386,-12,5.66
54436,-12,5.66
54488,-12,5.18
54539,-12,5.66
54590,-12,6.15
54641,-12,5.66
54692,-12,5.66
54744,-12,5.66
54794,-12,5.66
54845,-12,5.66
54896,-12,6.15
54947,-12,5.66
54999,-12,5.66
55050,-12,5.66
55101,-12,5.66
55151,-12,5.18
55202,-12,5.66
55254,-12,5.66
55305,-12,6.15
55356,-12,6.15
55407,-12,5.66
55458,-12,5.18
55508,-12,5.66
55560,-12,5.66
55611,-12,5.66
55662,-12,6.15
55713,-12,5.66
55764,-12,5.18
55816,-12,5.66
55866,-12,5.18
55917,-12,5.18
55968,-12,5.18
56019,-12,6.15
56071,-12,5.66
56122,-12,5.66
56173,-12,5.66
56223,-12,5.66
56274,-12,5.66
56326,-12,5.66
56377,-12,5.66
56428,-12,5.66
56479,-12,6.15
56530,-12,5.18
56581,-12,5.18
56632,-12,5.18
56683,-12,5.18
56734,-12,5.18
56785,-12,5.18
56837,-12,5.18
56888,-12,5.18
56939,-12,5.66
56989,-12,5.18
57040,-12,5.66
57092,-12,5.18
57143,-12,5.18
57194,-12,5.18
57245,-12,5.18
57296,-12,5.18
57347,-12,4.69
57398,-12,4.69
57449,-12,5.66
57500,-12,5.18
57551,-12,5.66
57603,-12,5.66
57654,-12,5.18
57704,-12,5.18
57755,-12,5.18
57806,-12,5.66
57858,-12,5.18
57909,-12,5.66
57960,-12,5.18
58011,-12,5.18
58061,-12,5.18
58113,-12,5.66
58164,-12,5.18
58215,-12,4.69
58266,-12,5.18
58317,-12,5.18
58369,-12,5.18
58419,-12,5.66
58470,-12,5.66
58521,-12,5.18
58572,-12,4.69
58624,-12,5.18
58675,-12,5.18
58726,-12,5.18
58776,-12,5.66
58827,-12,5.66
58878,-12,5.18
58930,-12,5.18
58981,-12,4.69
59032,-12,5.66
59083,-12,5.66
59133,-12,5.66
59185,-12,5.66
59236,-12,5.18
59287,-12,5.18
59338,-12,5.18
59389,-12,4.69
59441,-12,5.18
59491,-12,4.69
59542,-12,5.18
59593,-12,5.18
59644,-12,5.18
59696,-12,4.69
59747,-12,5.18
59798,-12,5.18
59848,-12,5.18
59899,-12,4.69
59951,-12,4.69
60002,-12,5.18
60053,-12,4.69
60104,-12,4.69
60155,-12,5.18
60206,-12,4.69
60257,-12,4.69
60308,-12,5.18
60359,-12,4.69
60410,-12,5.18
60462,-12,5.18
60513,-12,5.18
60563,-12,5.18
60614,-12,4.69
60665,-12,4.69
60717,-12,4.69
60768,-12,5.66
60819,-12,5.66
60870,-12,5.18
60921,-12,5.18
60972,-12,4.69
61023,-12,5.18
61074,-12,4.69
61125,-12,4.2
61176,-12,4.69
61228,-12,4.2
61279,-12,4.2
61329,-12,4.69
61380,-12,4.69
61431,-12,4.69
61483,-12,5.18
61534,-12,4.69
61585,-12,4.69
61636,-12,4.69
61686,-12,4.69
61737,-12,5.18
61789,-12,4.2
61840,-12,4.2
61891,-12,4.69
61942,-12,4.69
61993,-12,4.69
62044,-12,4.69
62095,-12,4.69
62146,-12,4.2
62197,-12,4.69
62248,-12,5.18
62300,-12,4.69
62351,-12,4.69
62401,-12,4.69
62452,-12,4.69
62503,-12,4.69
62555,-12,4.2
62606,-12,4.69
62657,-12,4.69
62708,-12,4.69
62758,-12,4.69
62810,-12,4.69
62861,-12,4.69
62912,-12,4.2
62963,-12,4.69
63014,-12,4.69
63066,-12,4.69
63116,-12,4.69
63167,-12,4.69
63218,-12,4.2
63269,-12,4.69
63321,-12,4.69
63372,-12,5.18
63423,-12,4.2
63473,-12,4.2
63524,-12,4.69
63576,-12,4.2
63627,-12,4.69
63678,-12,4.69
63729,-12,4.69
63780,-12,4.69
63831,-12,4.2
63882,-12,4.2
63933,-12,4.69
63984,-12,4.2
64035,-12,4.2
64087,-12,4.69
64138,-12,4.2
64188,-12,4.2
64239,-12,3.71
64290,-12,4.69
64342,-12,4.2
64393,-12,3.71
64444,-12,4.2
64495,-12,4.2
64545,-12,4.2
64596,-12,3.71
64648,-12,4.2
64699,-12,4.69
64750,-12,4.2
64801,-12,3.71
64852,-12,4.69
64903,-12,4.2
64954,-12,4.2
65005,-12,4.2
65056,-12,3.71
65107,-12,4.69
65159,-12,3.71
65210,-12,4.69
65260,-12,4.69
65311,-12,4.2
65362,-12,4.2
65414,-12,4.2
65465,-12,4.2
65516,-12,4.2
65567,-12,3.71
65617,-12,4.2
65669,-12,3.22
65720,-12,4.2
65771,-12,4.2
65822,-12,3.71
65873,-12,4.69
65924,-12,4.2
65975,-12,4.2
66026,-12,4.2
66077,-12,4.2
66128,-12,4.2
66180,-12,4.69
66231,-12,4.2
66281,-12,4.2
66332,-12,4.2
66383,-12,3.22
66435,-12,3.71
66486,-12,4.2
66537,-12,4.2
66588,-12,4.2
66638,-12,4.2
66690,-12,3.71
66741,-12,4.2
66792,-12,4.2
66843,-12,4.2
66894,-12,4.2
66946,-12,3.71
66996,-12,3.71
67047,-12,4.2
67098,-12,3.71
67149,-12,4.2
67201,-12,4.2
67252,-12,3.71
67303,-12,4.2
67353,-12,4.2
67404,-12,4.69
67456,-12,4.69
67507,-12,4.2
67558,-12,4.69
67609,-12,3.71
67660,-12,4.69
67710,-12,3.71
67762,-12,4.2
67813,-12,4.2
67864,-12,4.69
67915,-12,4.2
67966,-12,3.71
68018,-12,3.71
68068,-12,4.69
68119,-12,4.2
68170,-12,3.71
68221,-12,4.2
68273,-12,4.2
68324,-12,4.2
68375,-12,4.2
